,Period,Time,grid_node,Domestic_electricity,SolarGains
124,2,1,192.0,2.4510331759036100,0.0
125,2,1,193.0,6.367592448,0.0
126,2,1,195.0,5.695635456,0.0
127,2,1,196.0,0.69062544,0.0
128,3,1,1.0,1.2813105314225900,0.0
129,3,1,2.0,0.7555330351807230,0.0
130,3,1,5.0,2.366727710843370,0.0
131,3,1,6.0,1.7237590361445800,0.0
132,3,1,10.0,0.02205216,0.0
133,3,1,11.0,3.4609350862650600,0.0
134,3,1,13.0,0.6436240963855420,0.0
135,3,1,16.0,17.196632413245900,0.0
136,3,1,17.0,0.2849156626506020,0.0
137,3,1,19.0,4.502357428546490,0.0
138,3,1,20.0,2.2951209600000000,0.0
139,3,1,21.0,2.777831325301210,0.0
140,3,1,22.0,9.345946694802880,0.0
141,3,1,23.0,9.294343189382130,0.0
142,3,1,24.0,25.856203975903600,0.0
143,3,1,25.0,1.040809638554220,0.0
144,3,1,26.0,8.029637599036150,0.0
145,3,1,27.0,31.037750985420900,0.0
146,3,1,29.0,4.5870285765765800,0.0
147,3,1,33.0,19.456559718574000,0.0
148,3,1,34.0,8.289312390361450,0.0
149,3,1,35.0,4.374441093975900,0.0
150,3,1,38.0,4.490503737913750,0.0
151,3,1,40.0,1.681156626506020,0.0
152,3,1,41.0,13.415900432240800,0.0
153,3,1,45.0,4.414487244542870,0.0
154,3,1,58.0,1.965106265060240,0.0
155,3,1,59.0,2.197153402409640,0.0
156,3,1,61.0,11.312093490301300,0.0
157,3,1,65.0,0.6759948549533120,0.0
158,3,1,67.0,3.4897766400000000,0.0
159,3,1,68.0,11.005430201064900,0.0
160,3,1,73.0,0.9261879518072290,0.0
161,3,1,74.0,4.220265600000000,0.0
162,3,1,76.0,5.3180915662650600,0.0
163,3,1,89.0,0.5361349397590360,0.0
164,3,1,97.0,0.7408454400000000,0.0
165,3,1,101.0,0.275277108433735,0.0
166,3,1,102.0,1.3948915662650600,0.0
167,3,1,104.0,0.3808000000000000,0.0
168,3,1,105.0,1.4698612800000000,0.0
169,3,1,107.0,7.686490506024100,0.0
