2,1,0.002562,0.000760,8.75254E-09
3,2,0.013713,0.004068,4.683949E-08
3,4,0.004368,0.001296,1.492077E-08
3,6,0.003064,0.000909,1.046506E-08
5,3,0.016208,0.004808,5.536053E-08
6,8,0.003355,0.000995,1.146135E-08
7,5,0.002650,0.000786,9.052911E-09
9,7,0.001817,0.000539,6.205221E-09
9,150,0.003455,0.001025,1.179991E-08
11,10,0.000606,0.000180,2.06872E-09
12,11,0.008388,0.005254,1.073432E-09
12,14,0.001339,0.000397,4.574729E-09
13,12,0.002193,0.000650,7.489776E-09
15,16,0.019995,0.005931,6.829643E-08
16,18,0.000954,0.000283,3.25812E-09
16,19,0.012452,0.003694,4.253154E-08
17,15,0.004013,0.001190,1.370773E-08
17,21,0.005142,0.002895,7.98724E-07
17,23,0.000632,0.000356,9.818458E-08
19,20,0.004690,0.001391,1.602089E-08
20,27,0.005102,0.001514,1.742833E-08
21,28,0.004280,0.001270,1.462099E-08
21,29,0.001680,0.000946,2.60922E-07
22,17,0.002420,0.001363,3.758803E-07
22,33,0.003082,0.000914,1.052798E-08
23,36,0.000258,0.000146,4.015428E-08
24,25,0.000480,0.000270,7.456278E-08
25,37,0.000680,0.000383,1.056292E-07
26,24,0.000893,0.002402,2.641992E-09
27,116,0.007698,0.002284,2.629504E-08
29,30,0.001348,0.000759,2.094317E-07
29,31,0.001918,0.001201,2.453864E-10
30,34,0.000718,0.000213,2.452048E-09
30,35,0.002169,0.005833,6.416625E-09
31,166,0.000750,0.000222,2.56044E-09
32,22,0.000607,0.000342,9.431483E-08
33,161,0.005070,0.001504,1.731785E-08
35,51,0.000352,0.000198,5.4682E-08
36,61,0.008690,0.002578,2.968333E-08
36,62,0.000753,0.000424,1.169111E-07
37,138,0.000907,0.002439,2.683355E-09
38,26,0.000591,0.000333,9.1848E-08
40,39,0.000413,0.000123,1.41132E-09
40,42,0.006657,0.004170,8.518964E-10
41,40,0.011638,0.003452,3.975155E-08
41,44,0.004074,0.001208,1.391582E-08
43,41,0.016232,0.004815,5.544469E-08
44,46,0.004300,0.001275,1.468649E-08
45,43,0.001918,0.000569,6.55082E-09
46,79,0.007240,0.002148,2.473159E-08
47,45,0.019146,0.011992,2.450074E-09
47,56,0.005062,0.001502,1.729038E-08
48,50,0.000287,0.000162,4.4612E-08
49,48,0.000142,0.000080,2.2032E-08
50,52,0.001273,0.000717,1.977114E-07
51,49,0.000195,0.000110,3.0332E-08
52,54,0.000128,0.000072,1.9948E-08
53,55,0.004197,0.002364,6.520122E-07
54,53,0.000311,0.000836,9.20059E-10
55,175,0.000356,0.000201,5.533876E-08
